Name,Population,Latitude,Longitude,Feature Code
BOYUP BROOK,1049,-33.83425,116.38776,PPL
DONNYBROOK,2371,-33.5713,115.82446,PPL
COLLIE,6336,-33.36206,116.15617,PPL
WAROONA,2476,-32.84323,115.92201,PPL
NARROGIN,4238,-32.93282,117.17763,PPL
PARABURDOO,1723,-23.20417,117.66973,PPL
DERBY,3199,-17.30295,123.62864,PPL
GREENMOUNT,2467,-31.90072,116.0495,PPL
PORT DENISON,1213,-29.27367,114.92068,PPL
KATANNING,3934,-33.68787,117.5584,PPL
PINJARRA,3288,-32.6298,115.87351,PPL
CARNARVON,7392,-24.88258,113.65713,PPL
QUINNS ROCKS,7991,-31.67379,115.70372,PPL
WONGAN HILLS,1062,-30.89294,116.71925,PPL
KALBARRI,1537,-27.7105,114.16505,PPL
MOUNT BARKER,8357,-35.06667,138.86667,PPL
YALLINGUP,1059,-33.64592,115.03514,PPL
CUNDERDIN,1130,-31.65398,117.23374,PPL
JURIEN BAY,1342,-30.30591,115.03825,PPL
TOM PRICE,2723,-22.6939,117.7931,PPL
MOORA,1770,-30.64003,116.00365,PPL
WUNDOWIE,1369,-31.76163,116.3799,PPL
NORTHAMPTON,1043,-28.34994,114.63821,PPL
PEAK HILL,1280,-32.72387,148.19052,PPL
BEDFORDALE,1829,-32.17406,116.0504,PPL
AUGUSTA,1349,-34.31566,115.15922,PPL
QUINDALUP,1013,-33.6356,115.14899,PPL
TRIGG,2662,-31.86939,115.7571,PPL
MANJIMUP,4240,-34.24122,116.14564,PPL
KENDENUP,1292,-34.48213,117.62533,PPL
KALGOORLIE,31107,-30.74614,121.4742,PPL
GORDON,5993,-29.3,152.71667,PPL
KUNUNURRA,5679,-15.77825,128.74208,PPL
RAVENSTHORPE,1101,-33.58303,120.04688,PPL
BRIDGETOWN,2971,-33.96242,116.13598,PPL
HARVEY,3416,-33.07863,115.91512,PPL
DAMPIER,1369,-20.66275,116.71256,PPL
NEWMAN,5138,-23.35644,119.73553,PPL
ROEBOURNE,2112,-20.77229,117.14648,PPL
YORK,2090,-31.88809,116.7678,PPL
BROOME,12766,-17.95538,122.23922,PPL
LAVERTON,4508,-37.86201,144.76979,PPL
WAGIN,1598,-33.30894,117.34328,PPL
PORT HEDLAND,15044,-20.31215,118.61059,PPL
BOYANUP,1114,-33.48295,115.72838,PPL
DUNSBOROUGH,3168,-33.61512,115.10561,PPL
GERALDTON,26872,-28.77897,114.61459,PPL
KOJONUP,1257,-33.8305,117.15946,PPL
NORTHAM,5855,-31.64932,116.67423,PPL
ALBANY,33650,-35.02692,117.88369,PPL
MARGARET RIVER,5584,-33.95504,115.07599,PPL
BUSSELTON,21898,-33.65249,115.3455,PPL
BEVERLEY,2092,-32.10839,116.92736,PPL
PEMBERTON,1031,-34.44311,116.03689,PPL
CAPEL,2150,-33.55808,115.56278,PPL
MOSMAN PARK,8251,-32.00538,115.7638,PPL
MOSMAN PARK,8251,-32.00538,115.7638,PPL
DONGARA,1554,-29.25818,114.93276,PPL
COTTESLOE,7065,-32,115.76667,PPL
VASSE,1315,-33.66667,115.25,PPL
KARRATHA,11728,-20.73765,116.84629,PPL
KWINANA,30433,-32.23013,115.78128,PPL
ESPERANCE,7888,-33.85919,121.89164,PPL
MANDURAH,83294,-32.5269,115.7217,PPL
DENMARK,2117,-34.96067,117.35321,PPL
MERREDIN,2668,-31.48094,118.27448,PPL
DARLINGTON,1080,-35.03333,138.56667,PPL
SINGLETON,13665,-32.56742,151.16603,PPL
HALLS CREEK,1209,-18.22485,127.66647,PPL
BUNBURY,68248,-33.32711,115.64137,PPL
TOODYAY,1144,-31.54977,116.46743,PPL
